radical_no,char,radical_char,description,pinyin,strokes
9,侳,人,person,rén,2
9,侴,人,person,rén,2
9,侵,人,person,rén,2
9,侶,人,person,rén,2
9,侷,人,person,rén,2
9,侸,人,person,rén,2
9,侹,人,person,rén,2
9,侺,人,person,rén,2
9,侻,人,person,rén,2
9,侼,人,person,rén,2
9,侽,人,person,rén,2
9,侾,人,person,rén,2
9,便,人,person,rén,2
9,俀,人,person,rén,2
9,俁,人,person,rén,2
9,係,人,person,rén,2
9,促,人,person,rén,2
9,俄,人,person,rén,2
9,俅,人,person,rén,2
9,俆,人,person,rén,2
9,俇,人,person,rén,2
9,俈,人,person,rén,2
9,俉,人,person,rén,2
9,俊,人,person,rén,2
9,俋,人,person,rén,2
9,俌,人,person,rén,2
9,俍,人,person,rén,2
9,俎,人,person,rén,2
9,俏,人,person,rén,2
9,俐,人,person,rén,2
9,俑,人,person,rén,2
9,俒,人,person,rén,2
9,俓,人,person,rén,2
9,俔,人,person,rén,2
9,俕,人,person,rén,2
9,俖,人,person,rén,2
9,俗,人,person,rén,2
9,俘,人,person,rén,2
9,俙,人,person,rén,2
9,俚,人,person,rén,2
9,俛,人,person,rén,2
9,俜,人,person,rén,2
9,保,人,person,rén,2
9,俞,人,person,rén,2
9,俟,人,person,rén,2
9,俠,人,person,rén,2
9,信,人,person,rén,2
9,俢,人,person,rén,2
9,俣,人,person,rén,2
9,俤,人,person,rén,2
9,俥,人,person,rén,2
9,俦,人,person,rén,2
9,俧,人,person,rén,2
9,俨,人,person,rén,2
9,俩,人,person,rén,2
9,俪,人,person,rén,2
9,俫,人,person,rén,2
9,俬,人,person,rén,2
9,俭,人,person,rén,2
9,修,人,person,rén,2
9,俯,人,person,rén,2
9,俰,人,person,rén,2
9,俱,人,person,rén,2
9,俲,人,person,rén,2
9,俳,人,person,rén,2
9,俴,人,person,rén,2
9,俵,人,person,rén,2
9,俶,人,person,rén,2
9,俷,人,person,rén,2
9,俸,人,person,rén,2
9,俹,人,person,rén,2
9,俺,人,person,rén,2
9,俻,人,person,rén,2
9,俼,人,person,rén,2
9,俽,人,person,rén,2
9,俾,人,person,rén,2
9,俿,人,person,rén,2
9,倀,人,person,rén,2
9,倁,人,person,rén,2
9,倂,人,person,rén,2
9,倃,人,person,rén,2
9,倄,人,person,rén,2
9,倅,人,person,rén,2
9,倆,人,person,rén,2
9,倇,人,person,rén,2
9,倈,人,person,rén,2
9,倉,人,person,rén,2
9,倊,人,person,rén,2
9,個,人,person,rén,2
9,倌,人,person,rén,2
9,倍,人,person,rén,2
9,倎,人,person,rén,2
9,倏,人,person,rén,2
9,倐,人,person,rén,2
9,們,人,person,rén,2
9,倒,人,person,rén,2
9,倓,人,person,rén,2
9,倔,人,person,rén,2
9,倕,人,person,rén,2
9,倖,人,person,rén,2
9,倗,人,person,rén,2
9,倘,人,person,rén,2
9,候,人,person,rén,2
9,倚,人,person,rén,2
9,倛,人,person,rén,2
9,倜,人,person,rén,2
9,倝,人,person,rén,2
9,倞,人,person,rén,2
9,借,人,person,rén,2
9,倠,人,person,rén,2
9,倡,人,person,rén,2
9,倢,人,person,rén,2
9,倣,人,person,rén,2
9,値,人,person,rén,2
9,倥,人,person,rén,2
9,倦,人,person,rén,2
9,倧,人,person,rén,2
9,倨,人,person,rén,2
9,倩,人,person,rén,2
9,倪,人,person,rén,2
9,倫,人,person,rén,2
9,倬,人,person,rén,2
9,倭,人,person,rén,2
9,倮,人,person,rén,2
9,倯,人,person,rén,2
9,倰,人,person,rén,2
9,倱,人,person,rén,2
9,倲,人,person,rén,2
9,倳,人,person,rén,2
9,倵,人,person,rén,2
9,倶,人,person,rén,2
9,倷,人,person,rén,2
9,倸,人,person,rén,2
9,倹,人,person,rén,2
9,债,人,person,rén,2
9,倻,人,person,rén,2
9,值,人,person,rén,2
9,倽,人,person,rén,2
9,倾,人,person,rén,2
9,倿,人,person,rén,2
9,偀,人,person,rén,2
9,偁,人,person,rén,2
9,偂,人,person,rén,2
9,偃,人,person,rén,2
9,偄,人,person,rén,2
9,偅,人,person,rén,2
9,偆,人,person,rén,2
9,假,人,person,rén,2
9,偈,人,person,rén,2
9,偉,人,person,rén,2
9,偊,人,person,rén,2
9,偋,人,person,rén,2
9,偌,人,person,rén,2
9,偍,人,person,rén,2
9,偎,人,person,rén,2
9,偏,人,person,rén,2
9,偐,人,person,rén,2
9,偑,人,person,rén,2
9,偒,人,person,rén,2
9,偓,人,person,rén,2
9,偔,人,person,rén,2
9,偕,人,person,rén,2
9,偖,人,person,rén,2
9,偗,人,person,rén,2
9,偘,人,person,rén,2
9,偙,人,person,rén,2
9,做,人,person,rén,2
9,偛,人,person,rén,2
9,停,人,person,rén,2
9,偝,人,person,rén,2
9,偞,人,person,rén,2
9,偟,人,person,rén,2
9,偠,人,person,rén,2
9,偡,人,person,rén,2
9,偢,人,person,rén,2
9,偣,人,person,rén,2
9,偤,人,person,rén,2
9,健,人,person,rén,2
9,偦,人,person,rén,2
9,偧,人,person,rén,2
9,偨,人,person,rén,2
9,偩,人,person,rén,2
9,偪,人,person,rén,2
9,偫,人,person,rén,2
9,偬,人,person,rén,2
9,偭,人,person,rén,2
9,偮,人,person,rén,2
9,偯,人,person,rén,2
9,偰,人,person,rén,2
9,偱,人,person,rén,2
9,偲,人,person,rén,2
9,偳,人,person,rén,2
9,側,人,person,rén,2
9,偵,人,person,rén,2
9,偶,人,person,rén,2
9,偷,人,person,rén,2
9,偸,人,person,rén,2
9,偺,人,person,rén,2
9,偻,人,person,rén,2
9,偼,人,person,rén,2
9,偽,人,person,rén,2
9,偾,人,person,rén,2
9,偿,人,person,rén,2
9,傀,人,person,rén,2
9,傁,人,person,rén,2
9,傂,人,person,rén,2
9,傃,人,person,rén,2
9,傄,人,person,rén,2
9,傅,人,person,rén,2
9,傆,人,person,rén,2
9,傇,人,person,rén,2
9,傈,人,person,rén,2
9,傉,人,person,rén,2
9,傊,人,person,rén,2
9,傋,人,person,rén,2
9,傌,人,person,rén,2
9,傍,人,person,rén,2
9,傎,人,person,rén,2
9,傏,人,person,rén,2
9,傐,人,person,rén,2
9,傑,人,person,rén,2
9,傒,人,person,rén,2
9,傓,人,person,rén,2
9,傔,人,person,rén,2
9,傕,人,person,rén,2
9,傖,人,person,rén,2
9,傗,人,person,rén,2
9,傘,人,person,rén,2
9,備,人,person,rén,2
9,傚,人,person,rén,2
9,傛,人,person,rén,2
9,傜,人,person,rén,2
9,傝,人,person,rén,2
9,傞,人,person,rén,2
9,傟,人,person,rén,2
9,傠,人,person,rén,2
9,傡,人,person,rén,2
9,傢,人,person,rén,2
9,傣,人,person,rén,2
9,傤,人,person,rén,2
9,傥,人,person,rén,2
9,傦,人,person,rén,2
9,傧,人,person,rén,2
9,储,人,person,rén,2
9,傩,人,person,rén,2
9,傪,人,person,rén,2
9,傫,人,person,rén,2
9,催,人,person,rén,2
9,傭,人,person,rén,2
9,傮,人,person,rén,2
9,傯,人,person,rén,2
9,傰,人,person,rén,2
9,傱,人,person,rén,2
9,傲,人,person,rén,2
9,傳,人,person,rén,2
9,傴,人,person,rén,2
9,債,人,person,rén,2
9,傶,人,person,rén,2
9,傷,人,person,rén,2
9,傸,人,person,rén,2
9,傹,人,person,rén,2
9,傺,人,person,rén,2
9,傻,人,person,rén,2
9,傼,人,person,rén,2
9,傽,人,person,rén,2
9,傾,人,person,rén,2
9,傿,人,person,rén,2
9,僀,人,person,rén,2
9,僁,人,person,rén,2
9,僂,人,person,rén,2
9,僃,人,person,rén,2
9,僄,人,person,rén,2
9,僅,人,person,rén,2
9,僆,人,person,rén,2
9,僇,人,person,rén,2
9,僈,人,person,rén,2
9,僉,人,person,rén,2
9,僊,人,person,rén,2
9,僋,人,person,rén,2
9,僌,人,person,rén,2
9,働,人,person,rén,2
9,僎,人,person,rén,2
9,像,人,person,rén,2
9,僐,人,person,rén,2
9,僑,人,person,rén,2
9,僒,人,person,rén,2
9,僓,人,person,rén,2
9,僔,人,person,rén,2
9,僕,人,person,rén,2
9,僖,人,person,rén,2
9,僗,人,person,rén,2
9,僘,人,person,rén,2
9,僙,人,person,rén,2
9,僚,人,person,rén,2
9,僛,人,person,rén,2
9,僜,人,person,rén,2
9,僝,人,person,rén,2
9,僞,人,person,rén,2
9,僟,人,person,rén,2
9,僠,人,person,rén,2
9,僡,人,person,rén,2
9,僢,人,person,rén,2
9,僣,人,person,rén,2
9,僤,人,person,rén,2
9,僥,人,person,rén,2
9,僦,人,person,rén,2
9,僧,人,person,rén,2
9,僨,人,person,rén,2
9,僩,人,person,rén,2
9,僪,人,person,rén,2
9,僫,人,person,rén,2
9,僬,人,person,rén,2
9,僭,人,person,rén,2
9,僮,人,person,rén,2
9,僯,人,person,rén,2
9,僰,人,person,rén,2
9,僱,人,person,rén,2
9,僲,人,person,rén,2
9,僳,人,person,rén,2
9,僴,人,person,rén,2
9,僵,人,person,rén,2
9,僶,人,person,rén,2
9,僷,人,person,rén,2
9,僸,人,person,rén,2
9,價,人,person,rén,2
9,僺,人,person,rén,2
9,僻,人,person,rén,2
9,僼,人,person,rén,2
9,僽,人,person,rén,2
9,僾,人,person,rén,2
9,僿,人,person,rén,2
9,儀,人,person,rén,2
9,儁,人,person,rén,2
9,儂,人,person,rén,2
9,儃,人,person,rén,2
9,億,人,person,rén,2
9,儅,人,person,rén,2
9,儆,人,person,rén,2
9,儇,人,person,rén,2
9,儈,人,person,rén,2
9,儉,人,person,rén,2
9,儊,人,person,rén,2
9,儋,人,person,rén,2
9,儌,人,person,rén,2
9,儍,人,person,rén,2
9,儎,人,person,rén,2
9,儏,人,person,rén,2
9,儐,人,person,rén,2
9,儑,人,person,rén,2
9,儒,人,person,rén,2
9,儓,人,person,rén,2
9,儔,人,person,rén,2
9,儕,人,person,rén,2
9,儖,人,person,rén,2
9,儗,人,person,rén,2
9,儘,人,person,rén,2
9,儙,人,person,rén,2
9,儚,人,person,rén,2
9,儛,人,person,rén,2
9,儜,人,person,rén,2
9,儝,人,person,rén,2
9,儞,人,person,rén,2
9,償,人,person,rén,2
9,儠,人,person,rén,2
9,儡,人,person,rén,2
9,儢,人,person,rén,2
9,儣,人,person,rén,2
9,儤,人,person,rén,2
9,儥,人,person,rén,2
9,儦,人,person,rén,2
9,儧,人,person,rén,2
9,儨,人,person,rén,2
9,儩,人,person,rén,2
9,優,人,person,rén,2
9,儫,人,person,rén,2
9,儬,人,person,rén,2
9,儭,人,person,rén,2
9,儮,人,person,rén,2
9,儯,人,person,rén,2
9,儰,人,person,rén,2
9,儱,人,person,rén,2
9,儲,人,person,rén,2
9,儳,人,person,rén,2
9,儴,人,person,rén,2
9,儵,人,person,rén,2
9,儶,人,person,rén,2
9,儷,人,person,rén,2
9,儸,人,person,rén,2
9,儹,人,person,rén,2
9,儺,人,person,rén,2
9,儻,人,person,rén,2
9,儼,人,person,rén,2
9,儽,人,person,rén,2
9,儾,人,person,rén,2
9,氽,人,person,rén,2
10,儿,儿,legs,ér,2
10,兀,儿,legs,ér,2
10,允,儿,legs,ér,2
10,兂,儿,legs,ér,2
10,元,儿,legs,ér,2
10,兄,儿,legs,ér,2
10,充,儿,legs,ér,2
10,兆,儿,legs,ér,2
10,兇,儿,legs,ér,2
10,先,儿,legs,ér,2
10,光,儿,legs,ér,2
10,兊,儿,legs,ér,2
10,克,儿,legs,ér,2
10,兌,儿,legs,ér,2
10,免,儿,legs,ér,2
10,兎,儿,legs,ér,2
10,兏,儿,legs,ér,2
10,児,儿,legs,ér,2
10,兑,儿,legs,ér,2
10,兒,儿,legs,ér,2
10,兓,儿,legs,ér,2
10,兔,儿,legs,ér,2
10,兕,儿,legs,ér,2
10,兖,儿,legs,ér,2
10,兗,儿,legs,ér,2
10,兘,儿,legs,ér,2
10,兙,儿,legs,ér,2
10,党,儿,legs,ér,2
10,兛,儿,legs,ér,2
10,兜,儿,legs,ér,2
10,兝,儿,legs,ér,2
10,兞,儿,legs,ér,2
10,兟,儿,legs,ér,2
10,兡,儿,legs,ér,2
10,兢,儿,legs,ér,2
10,兣,儿,legs,ér,2
10,兤,儿,legs,ér,2
10,尧,儿,legs,ér,2
10,尭,儿,legs,ér,2
11,入,入,enter,rù,2
11,兦,入,enter,rù,2
11,內,入,enter,rù,2
11,全,入,enter,rù,2
11,兩,入,enter,rù,2
11,兪,入,enter,rù,2
11,内,入,enter,rù,2
12,八,八,eight,bā,2
12,公,八,eight,bā,2
12,六,八,eight,bā,2
12,兮,八,eight,bā,2
12,兰,八,eight,bā,2
12,共,八,eight,bā,2
12,兲,八,eight,bā,2
12,关,八,eight,bā,2
12,兴,八,eight,bā,2
12,兵,八,eight,bā,2
12,其,八,eight,bā,2
12,具,八,eight,bā,2
12,典,八,eight,bā,2
12,兺,八,eight,bā,2
12,养,八,eight,bā,2
12,兼,八,eight,bā,2
12,兽,八,eight,bā,2
12,兾,八,eight,bā,2
12,冀,八,eight,bā,2
12,冁,八,eight,bā,2
12,单,八,eight,bā,2
12,总,八,eight,bā,2
12,舆,八,eight,bā,2
13,冂,冂,down box,jiǒng,2
13,冃,冂,down box,jiǒng,2
13,冄,冂,down box,jiǒng,2
13,円,冂,down box,jiǒng,2
13,冈,冂,down box,jiǒng,2
13,冉,冂,down box,jiǒng,2
13,冊,冂,down box,jiǒng,2
13,冋,冂,down box,jiǒng,2
13,册,冂,down box,jiǒng,2
13,再,冂,down box,jiǒng,2
13,冎,冂,down box,jiǒng,2
13,冏,冂,down box,jiǒng,2
13,冐,冂,down box,jiǒng,2
13,冑,冂,down box,jiǒng,2
13,冒,冂,down box,jiǒng,2
13,冓,冂,down box,jiǒng,2
13,冔,冂,down box,jiǒng,2
13,冕,冂,down box,jiǒng,2
13,囘,冂,down box,jiǒng,2
14,冖,冖,cover,mì,2
14,冗,冖,cover,mì,2
14,冘,冖,cover,mì,2
14,写,冖,cover,mì,2
14,冚,冖,cover,mì,2
14,农,冖,cover,mì,2
14,冝,冖,cover,mì,2
14,冞,冖,cover,mì,2
14,冟,冖,cover,mì,2
14,冠,冖,cover,mì,2
14,冡,冖,cover,mì,2
14,冢,冖,cover,mì,2
14,冣,冖,cover,mì,2
14,冤,冖,cover,mì,2
14,冥,冖,cover,mì,2
14,冦,冖,cover,mì,2
14,冧,冖,cover,mì,2
14,冨,冖,cover,mì,2
14,冩,冖,cover,mì,2
